,precision,recall,f1-score,support
No failure,0.9927946474523932,0.9984472049689441,0.9956129032258064,1932.0
Failure,0.9473684210526315,0.7941176470588235,0.864,68.0
accuracy,0.9915,0.9915,0.9915,0.9915
macro avg,0.9700815342525124,0.8962824260138837,0.9298064516129032,2000.0
weighted avg,0.9912501557548014,0.9915,0.9911380645161291,2000.0
