Threshold,Precision,Recall
0.0,0.033875,1.0
0.00036057692307692304,0.07399226946438432,0.988929889298893
0.0003684210526315789,0.07432057681641709,0.988929889298893
0.00044513457556935815,0.07469342251950947,0.988929889298893
0.0005,0.07797497817864417,0.988929889298893
0.0005681818181818182,0.07824817518248176,0.988929889298893
0.0005952380952380952,0.07831677381648158,0.988929889298893
0.0006428571428571428,0.07838549283416203,0.988929889298893
0.000797872340425532,0.07852329329036038,0.988929889298893
0.0009615384615384616,0.07868467410452143,0.988929889298893
0.0009821428571428572,0.07870778267254039,0.988929889298893
0.001095871040723982,0.07873090481786134,0.988929889298893
0.0011250000000000001,0.07875404055245372,0.988929889298893
0.00125,0.07880035283740076,0.988929889298893
0.0012962962962962963,0.07891637220259129,0.988929889298893
0.0013,0.07896287566293458,0.988929889298893
0.0013043478260869564,0.07900943396226415,0.988929889298893
0.0013194444444444445,0.07907937444673944,0.988929889298893
0.0014772727272727272,0.07910271546635184,0.988929889298893
0.0015079365079365078,0.07912607026867434,0.988929889298893
0.0016,0.07950163156333433,0.988929889298893
0.0016250000000000001,0.07957244655581948,0.988929889298893
0.0016666666666666666,0.07966706302021404,0.988929889298893
0.0017045454545454545,0.07969075230449003,0.988929889298893
0.0017647058823529412,0.07971445568114217,0.988929889298893
0.0017768595041322314,0.07973817316274918,0.988929889298893
0.0018456937799043063,0.07976190476190476,0.988929889298893
0.0019871794871794872,0.07980941036331149,0.988929889298893
0.00203125,0.07983318439082514,0.988929889298893
0.002109375,0.07988077496274218,0.988929889298893
0.0021474358974358974,0.07990459153249851,0.988929889298893
0.0021551724137931034,0.07992842230838056,0.988929889298893
0.0021875,0.07995226730310262,0.988929889298893
0.0022500000000000003,0.07997612652939422,0.988929889298893
0.0023125000000000003,0.08,0.988929889298893
0.0024390243902439024,0.08007170600537795,0.988929889298893
0.0024637681159420293,0.08009563658099222,0.988929889298893
0.0025,0.08011958146487294,0.988929889298893
0.0026333041958041957,0.10319314641744548,0.977859778597786
0.0026710526315789473,0.10323334631865991,0.977859778597786
0.002752826883261666,0.10327357755261107,0.977859778597786
0.002857954545454546,0.10331384015594541,0.977859778597786
0.0028605769230769227,0.10335413416536661,0.977859778597786
