Threshold,False Negatives,False Positives,Expected Cost
0.0196875,9,1154,218100
0.019714285714285715,9,1153,217950
0.019951923076923075,9,1152,217800
0.02,9,1151,217650
0.020368421052631577,9,1104,210600
0.02064285714285714,9,1103,210450
0.020830592105263158,9,1101,210150
0.020858653806350123,9,1100,210000
0.02112012987012987,9,1099,209850
0.02125,9,1098,209700
0.021625000000000002,9,1097,209550
0.02169491525423729,9,1096,209400
0.021875,9,1095,209250
0.021901041666666666,9,1094,209100
0.021920163170163168,9,1093,208950
0.02203125,9,1092,208800
0.02203584229390681,9,1091,208650
0.022104895104895102,9,1090,208500
0.022109375,9,1089,208350
0.022195121951219515,9,1087,208050
0.022261904761904764,9,1086,207900
0.02235,9,1085,207750
0.022361111111111113,9,1084,207600
0.022446808510638298,9,1083,207450
0.0225,9,1082,207300
0.02252102064602065,9,1038,200700
0.02286842105263158,9,1037,200550
0.02292427681616644,9,1036,200400
0.023,9,1035,200250
0.023229166666666665,9,1033,199950
0.02332359346642468,9,1032,199800
0.02387263099219621,9,1031,199650
0.023990740740740743,9,1030,199500
0.024204545454545454,9,1029,199350
0.024521276595744677,9,1028,199200
0.02453125,9,1027,199050
0.024601260321599306,9,1026,198900
0.0246875,9,1025,198750
0.02475,9,1024,198600
0.024833333333333332,9,1023,198450
0.02484375,9,1022,198300
0.025,9,1021,198150
0.02514781096563012,9,987,193050
0.02536842105263158,9,986,192900
0.025372610329819727,9,985,192750
0.025683922359266288,9,984,192600
0.02575171639058547,9,983,192450
0.025982142857142856,9,982,192300
0.02602490421455939,9,981,192150
0.02646551724137931,9,980,192000
0.026785714285714288,9,979,191850
0.026919354838709678,9,978,191700
0.02723684210526316,9,977,191550
0.02734375,9,976,191400
0.027448979591836738,9,975,191250
0.027490774907749076,9,974,191100
0.0275,9,973,190950
0.027584678053428055,9,950,187500
0.027793564794338792,9,949,187350
0.027868421052631577,9,948,187200
0.02814285714285714,9,947,187050
0.028208609507166665,9,946,186900
0.028235294117647056,9,945,186750
0.028965517241379312,9,944,186600
0.028999999999999998,9,943,186450
0.029284188034188034,9,942,186300
0.029500000000000002,9,941,186150
0.02965169022154316,9,940,186000
0.029750000000000002,9,939,185850
0.029775641025641026,9,938,185700
0.029861111111111113,9,937,185550
0.029990774907749075,9,936,185400
0.03,9,935,185250
0.030048076923076924,9,912,181800
